Category,S. No.,Crime Head,Persons Arrested - Male,Persons Arrested - Female,Persons Arrested - Total,Persons Chargesheeted - Male,Persons Chargesheeted - Female,Persons Chargesheeted - Total,Persons Convicted - Male,Persons Convicted - Female,Persons Convicted - Total,Persons Discharged - Male,Persons Discharged - Female,Persons Discharged - Total,Persons Acquitted - Male,Persons Acquitted - Female,Persons Acquitted - Total
SLL Crimes against Women,16,Dowry Prohibition Act,15030,3690,18720,19892,4968,24860,1217,193,1410,392,80,472,3844,996,4840
SLL Crimes against Women,17,Immoral Traffic (Prevention) Act,2277,1050,3327,1977,842,2819,221,179,400,32,15,47,817,333,1150
SLL Crimes against Women,17.1,"Procuring, inducing Children for the sake of prostitution",631,276,907,460,197,657,91,65,156,2,0,2,224,100,324
SLL Crimes against Women,17.2,Detaining a person in premises where prostitution is carried on,253,75,328,197,57,254,14,8,22,1,0,1,56,18,74
SLL Crimes against Women,17.3,Prostitution in or in the vicinity of public places,284,282,566,250,225,475,15,26,41,5,2,7,59,24,83
SLL Crimes against Women,17.4,Seducing or soliciting for purpose of prostitution,106,67,173,96,67,163,18,42,60,8,0,8,19,4,23
SLL Crimes against Women,17.5,Other Sections under ITP Act,1003,350,1353,974,296,1270,83,38,121,16,13,29,459,187,646
SLL Crimes against Women,18,Protection of Women from Domestic Violence Act,357,27,384,545,28,573,33,0,33,38,2,40,61,1,62
SLL Crimes against Women,19,Cyber Crimes/Information Technology Act,956,33,989,696,170,866,7,0,7,1,0,1,27,36,63
SLL Crimes against Women,19.1,Publishing or Transmitting of Sexually Explicit Material,602,27,629,521,168,689,3,0,3,1,0,1,15,35,50
SLL Crimes against Women,19.2,Other Women Centric Cyber Crimes,354,6,360,175,2,177,4,0,4,0,0,0,12,1,13
SLL Crimes against Women,20,Protection of Children from Sexual Offences Act,54598,1144,55742,51294,950,52244,6821,42,6863,1122,9,1131,11442,216,11658
SLL Crimes against Women,20.1,POCSO Act Section 4 & 6,30653,764,31417,28865,642,29507,4282,34,4316,554,7,561,7223,149,7372
SLL Crimes against Women,20.2,POCSO Act Section 8 & 10,19708,260,19968,18717,251,18968,2266,8,2274,530,2,532,3646,48,3694
SLL Crimes against Women,20.3,POCSO Act Section 12,1934,25,1959,1754,25,1779,121,0,121,20,0,20,326,9,335
SLL Crimes against Women,20.4,POCSO Act Section 14 & 15,939,9,948,926,11,937,35,0,35,2,0,2,53,0,53
SLL Crimes against Women,20.5,"POCSO Act Section 17,18,19",1234,86,1320,1005,21,1026,109,0,109,16,0,16,182,9,191
SLL Crimes against Women,20.6,POCSO Act  r/w Section 377 IPC,130,0,130,27,0,27,8,0,8,0,0,0,12,1,13
SLL Crimes against Women,21,Indecent Representation of Women (Prohibition) Act,37,1,38,34,1,35,7,0,7,3,0,3,14,0,14
SLL Crimes against Women,Total,Total,73255,5945,79200,74438,6959,81397,8306,414,8720,1588,106,1694,16205,1582,17787
Total Crime against Women,Total Crime against Women,Total Crime against Women,401722,45814,447536,445772,59936,505708,43508,2656,46164,12850,1046,13896,141862,19371,161233
